,Name,FG%,2P FG%,3P FG%
164,Patrick Patterson,1.000,,1.000
165,Chris Paul,.491,.565,.372
166,Norvel Pelle,,,
167,Mason Plumlee,.487,.500,.000
168,Vincent Poirier,,,
169,Michael Porter Jr.,.476,.587,.382
170,Kristaps Porziņģis,.525,.522,.529
171,Norman Powell,.490,.558,.423
172,Josh Reaves,.333,.500,.000
173,Josh Richardson,.357,.357,.357
174,Austin Rivers,.311,.385,.257
175,Andre Roberson,.000,,.000
176,Duncan Robinson,.426,.650,.397
177,Rajon Rondo,.455,.493,.400
178,Terrence Ross,.469,.588,.333
179,JaKarr Sampson,.625,.625,
180,Dennis Schröder,.404,.484,.289
181,Mike Scott,.200,.333,.000
182,Landry Shamet,.407,.529,.357
183,Pascal Siakam,.396,.481,.189
184,Anfernee Simons,.308,.167,.429
185,Marcus Smart,.394,.493,.333
186,J.R. Smith,.269,.250,.273
187,Edmond Sumner,.286,.500,.000
188,Jayson Tatum,.434,.471,.373
189,Garrett Temple,.347,.615,.250
190,Daniel Theis,.521,.626,.154
191,Lance Thomas,.200,.333,.000
192,Matt Thomas,.619,.889,.417
193,Matisse Thybulle,.429,.667,.250
194,Gary Trent Jr.,.356,.286,.417
195,P.J. Tucker,.398,.476,.373
196,Rayjon Tucker,.400,.500,.333
197,Myles Turner,.568,.633,.429
198,Fred VanVleet,.400,.413,.391
199,Gabe Vincent,,,
200,Noah Vonleh,.000,.000,
201,Nikola Vučević,.505,.567,.409
202,Dion Waiters,.333,.500,.000
203,Kemba Walker,.441,.569,.310
204,Brad Wanamaker,.483,.515,.444
205,T.J. Warren,.471,.510,.368
206,Tremont Waters,.000,,.000
207,Paul Watson,.500,.500,
208,Russell Westbrook,.421,.477,.242
209,Hassan Whiteside,.542,.522,1.000
210,Grant Williams,.577,.556,.588
211,Lou Williams,.425,.526,.235
212,Marvin Williams,.447,.458,.435
213,Robert Williams,.742,.767,.000
214,Nigel Williams-Goss,,,
215,Delon Wright,.600,.625,.500
216,Ivica Zubac,.564,.564,
