,Player,Pos,Age,Tm,G,FG%,2P FG%,3P FG%
453,Anfernee Simons,SG,20,POR,70,0.39899999999999997,0.44799999999999995,0.332
454,Alen Smailagić,PF,19,GSW,14,0.5,0.63,0.231
455,Marcus Smart,SG,25,BOS,60,0.375,0.415,0.34700000000000003
456,Dennis Smith Jr.,PG,22,NYK,34,0.341,0.35700000000000004,0.29600000000000004
457,Ish Smith,PG,31,WAS,68,0.447,0.473,0.36700000000000005
458,Tony Snell,SF,28,DET,59,0.445,0.531,0.402
459,Omari Spellman,PF,22,GSW,49,0.431,0.45399999999999996,0.391
460,Edmond Sumner,PG,24,IND,31,0.43,0.528,0.264
461,Caleb Swanigan,PF,22,TOT,27,0.596,0.622,0.0
462,Caleb Swanigan,PF,22,POR,20,0.605,0.634,0.0
463,Jayson Tatum,PF,21,BOS,66,0.45,0.48,0.40299999999999997
464,Jeff Teague,PG,31,TOT,59,0.436,0.457,0.368
465,Jeff Teague,PG,31,MIN,34,0.44799999999999995,0.473,0.379
466,Jeff Teague,PG,31,ATL,25,0.41200000000000003,0.43,0.33299999999999996
467,Garrett Temple,SG,33,BRK,62,0.37799999999999995,0.473,0.32899999999999996
468,Daniel Theis,C,27,BOS,65,0.5660000000000001,0.633,0.33299999999999996
469,Isaiah Thomas,PG,30,WAS,40,0.408,0.405,0.413
470,Matt Thomas,SG,25,TOR,41,0.48700000000000004,0.51,0.475
471,Tristan Thompson,C,28,CLE,57,0.512,0.518,0.391
472,Matisse Thybulle,SG,22,PHI,65,0.423,0.519,0.35700000000000004
473,Anthony Tolliver,PF,34,TOT,55,0.35700000000000004,0.43200000000000005,0.33799999999999997
474,Anthony Tolliver,PF,34,POR,33,0.368,0.46399999999999997,0.337
475,Anthony Tolliver,PF,34,MEM,13,0.396,0.28600000000000003,0.415
476,Juan Toscano-Anderson,SF,26,GSW,13,0.46,0.525,0.348
477,Karl-Anthony Towns,C,24,MIN,35,0.508,0.586,0.41200000000000003
478,Gary Trent Jr.,SG,21,POR,61,0.444,0.486,0.418
479,Allonzo Trier,PG,24,NYK,24,0.48100000000000004,0.604,0.358
480,P.J. Tucker,PF,34,HOU,72,0.415,0.551,0.358
481,Rayjon Tucker,SG,22,UTA,20,0.465,0.654,0.17600000000000002
482,Evan Turner,PG,31,ATL,19,0.373,0.40299999999999997,0.0
483,Myles Turner,C,23,IND,62,0.457,0.54,0.344
484,Jonas Valančiūnas,C,27,MEM,70,0.585,0.617,0.35200000000000004
485,Denzel Valentine,SF,26,CHI,36,0.409,0.51,0.336
486,Fred VanVleet,PG,25,TOR,54,0.413,0.434,0.39
487,Noah Vonleh,C-PF,24,TOT,36,0.565,0.636,0.2
488,Noah Vonleh,C,24,MIN,29,0.547,0.625,0.14300000000000002
489,Nikola Vučević,C,29,ORL,62,0.47700000000000004,0.531,0.33899999999999997
490,Dean Wade,PF,23,CLE,12,0.6920000000000001,0.778,0.5
491,Moritz Wagner,C,22,WAS,45,0.545,0.645,0.313
492,Dion Waiters,SG,28,TOT,10,0.414,0.5,0.319
493,Kemba Walker,PG,29,BOS,56,0.425,0.47600000000000003,0.381
494,Lonnie Walker,SG,21,SAS,61,0.426,0.434,0.406
495,Tyrone Wallace,SG,25,ATL,14,0.318,0.44799999999999995,0.067
496,Taurean Prince,SF,25,BRK,64,0.376,0.429,0.33899999999999997
497,Derrick Walton,PG,24,TOT,26,0.462,0.5329999999999999,0.41700000000000004
498,Derrick Walton,PG,24,LAC,23,0.47200000000000003,0.5329999999999999,0.429
499,Brad Wanamaker,PG,30,BOS,71,0.44799999999999995,0.48100000000000004,0.363
500,T.J. Warren,SF,26,IND,67,0.536,0.575,0.40299999999999997
501,P.J. Washington,PF,21,CHO,58,0.455,0.507,0.374
502,Yuta Watanabe,SG,25,MEM,18,0.441,0.462,0.375
503,Tremont Waters,PG,22,BOS,11,0.28600000000000003,0.4,0.16699999999999998
504,Paul Watson,SF-SG,25,TOT,10,0.385,0.429,0.33299999999999996
505,Quinndary Weatherspoon,SG,23,SAS,11,0.294,0.33299999999999996,0.2
506,Russell Westbrook,PG,31,HOU,57,0.47200000000000003,0.514,0.258
507,Coby White,SG,19,CHI,65,0.39399999999999996,0.43,0.354
508,Derrick White,SG,25,SAS,68,0.45799999999999996,0.518,0.366
509,Hassan Whiteside,C,30,POR,67,0.621,0.622,0.5710000000000001
510,Andrew Wiggins,SF-SG,24,TOT,54,0.447,0.506,0.332
511,Andrew Wiggins,SF,24,MIN,42,0.444,0.505,0.331
512,Andrew Wiggins,SG,24,GSW,12,0.457,0.512,0.33899999999999997
513,Grant Williams,PF,21,BOS,69,0.41200000000000003,0.5479999999999999,0.25
514,Johnathan Williams,C,24,WAS,15,0.5589999999999999,0.594,0.0
515,Kenrich Williams,PF,25,NOP,39,0.34700000000000003,0.52,0.258
516,Lou Williams,SG,33,LAC,65,0.418,0.451,0.35200000000000004
517,Marvin Williams,PF,33,TOT,58,0.446,0.568,0.359
518,Marvin Williams,PF,33,CHO,41,0.44799999999999995,0.5379999999999999,0.376
519,Marvin Williams,PF,33,MIL,17,0.439,0.722,0.308
520,Nigel Williams-Goss,PG,25,UTA,10,0.313,0.33299999999999996,0.28600000000000003
521,Zion Williamson,PF,19,NOP,24,0.583,0.59,0.429
522,D.J. Wilson,PF,23,MIL,37,0.39399999999999996,0.5760000000000001,0.247
523,Justise Winslow,SF,23,MIA,11,0.38799999999999996,0.431,0.222
524,Christian Wood,PF,24,DET,62,0.5670000000000001,0.636,0.386
525,Delon Wright,SG,27,DAL,73,0.462,0.504,0.37
526,Thaddeus Young,PF,31,CHI,64,0.44799999999999995,0.501,0.35600000000000004
527,Trae Young,PG,21,ATL,60,0.43700000000000006,0.501,0.361
528,Cody Zeller,C,27,CHO,58,0.524,0.5770000000000001,0.24
529,Ivica Zubac,C,22,LAC,72,0.613,0.616,0.0
