,Player,Pos,Age,Tm,G,FG%,2P FG%,3P FG%
171,Evan Fournier,SG,27,ORL,66,0.467,0.527,0.39899999999999997
172,De'Aaron Fox,PG,22,SAC,51,0.48,0.535,0.292
173,Melvin Frazier,SG,23,ORL,19,0.441,0.389,0.5
174,Michael Frazier,SG,25,HOU,13,0.24100000000000002,0.5,0.174
175,Tim Frazier,PG,29,DET,27,0.36200000000000004,0.375,0.33299999999999996
176,Markelle Fultz,PG,21,ORL,72,0.465,0.507,0.267
177,Wenyen Gabriel,PF,22,TOT,30,0.43799999999999994,0.536,0.3
178,Wenyen Gabriel,PF,22,SAC,11,0.353,0.556,0.125
179,Wenyen Gabriel,PF,22,POR,19,0.484,0.526,0.41700000000000004
180,Danilo Gallinari,PF,31,OKC,62,0.43799999999999994,0.47600000000000003,0.405
181,Langston Galloway,SG,28,DET,66,0.435,0.493,0.39899999999999997
182,Darius Garland,PG,20,CLE,59,0.401,0.434,0.355
183,Marc Gasol,C,35,TOR,44,0.42700000000000005,0.473,0.385
184,Rudy Gay,PF,33,SAS,67,0.446,0.511,0.336
185,Paul George,SF,29,LAC,48,0.439,0.46399999999999997,0.41200000000000003
186,Taj Gibson,C,34,NYK,62,0.584,0.599,0.28600000000000003
187,Harry Giles,PF,21,SAC,46,0.5539999999999999,0.5579999999999999,0.0
188,Shai Gilgeous-Alexander,SG,21,OKC,70,0.47100000000000003,0.512,0.34700000000000003
189,Brandon Goodwin,PG,24,ATL,34,0.4,0.485,0.299
190,Aaron Gordon,PF,24,ORL,62,0.43700000000000006,0.494,0.308
191,Eric Gordon,SF,31,HOU,36,0.369,0.469,0.317
192,Devonte' Graham,PG,24,CHO,63,0.382,0.397,0.373
193,Treveon Graham,SG,26,TOT,55,0.36,0.44299999999999995,0.275
194,Treveon Graham,SG,26,MIN,33,0.354,0.457,0.24100000000000002
195,Treveon Graham,SG,26,ATL,22,0.373,0.4,0.35100000000000003
196,Jerami Grant,PF,25,DEN,71,0.478,0.537,0.389
197,Danny Green,SG,32,LAL,68,0.41600000000000004,0.524,0.36700000000000005
198,Draymond Green,PF,29,GSW,43,0.389,0.465,0.27899999999999997
199,JaMychal Green,PF,29,LAC,63,0.429,0.518,0.387
200,Javonte Green,SF,26,BOS,48,0.5,0.581,0.273
201,Jeff Green,PF-C,33,TOT,48,0.462,0.602,0.33899999999999997
202,Jeff Green,PF,33,UTA,30,0.385,0.451,0.327
203,Jeff Green,C,33,HOU,18,0.564,0.8,0.354
204,Blake Griffin,PF,30,DET,18,0.35200000000000004,0.439,0.243
205,Marko Guduric,SG,24,MEM,44,0.395,0.5,0.301
206,Rui Hachimura,PF,21,WAS,48,0.466,0.5,0.287
207,Devon Hall,SG,24,OKC,11,0.2,0.154,0.235
208,Tim Hardaway Jr.,SG,27,DAL,71,0.434,0.485,0.39799999999999996
209,James Harden,SG,30,HOU,68,0.444,0.556,0.355
210,Maurice Harkless,SF,26,TOT,62,0.502,0.584,0.34700000000000003
211,Maurice Harkless,SF,26,LAC,50,0.516,0.59,0.37
212,Maurice Harkless,SF,26,NYK,12,0.455,0.561,0.28
213,Montrezl Harrell,C,26,LAC,63,0.58,0.593,0.0
214,Gary Harris,SG,25,DEN,56,0.42,0.479,0.33299999999999996
215,Joe Harris,SF,28,BRK,69,0.486,0.5529999999999999,0.424
216,Tobias Harris,PF,27,PHI,72,0.47100000000000003,0.517,0.36700000000000005
217,Shaquille Harrison,SF,26,CHI,43,0.467,0.496,0.381
218,Josh Hart,SF,24,NOP,65,0.423,0.584,0.342
219,Isaiah Hartenstein,C,21,HOU,23,0.657,0.71,0.0
220,Jaxson Hayes,C,19,NOP,64,0.672,0.6779999999999999,0.25
221,Gordon Hayward,SF,29,BOS,52,0.5,0.5539999999999999,0.38299999999999995
222,John Henson,PF,29,TOT,40,0.556,0.644,0.222
223,John Henson,PF,29,CLE,29,0.508,0.618,0.19399999999999998
224,John Henson,PF,29,DET,11,0.667,0.696,0.4
225,Juan Hernangómez,PF,24,TOT,48,0.405,0.475,0.341
226,Juan Hernangómez,PF,24,DEN,34,0.345,0.46,0.25
227,Juan Hernangómez,PF,24,MIN,14,0.45299999999999996,0.485,0.42
228,Willy Hernangómez,C,25,CHO,31,0.532,0.59,0.22699999999999998
229,Tyler Herro,SG,20,MIA,55,0.428,0.462,0.389
230,Kevin Hervey,PF,23,OKC,10,0.259,0.5710000000000001,0.15
231,Mario Hezonja,PF,24,POR,53,0.42200000000000004,0.486,0.308
232,Buddy Hield,SG,27,SAC,72,0.429,0.479,0.39399999999999996
233,George Hill,PG,33,MIL,59,0.516,0.565,0.46
234,Solomon Hill,SF,28,TOT,59,0.396,0.439,0.368
235,Solomon Hill,SF,28,MEM,48,0.41200000000000003,0.465,0.381
236,Solomon Hill,SF,28,MIA,11,0.311,0.33299999999999996,0.292
237,Jaylen Hoard,SF,20,POR,13,0.469,0.517,0.0
238,Aaron Holiday,PG,23,IND,66,0.414,0.42700000000000005,0.39399999999999996
239,Jrue Holiday,SG,29,NOP,61,0.455,0.509,0.353
240,Justin Holiday,SG,30,IND,73,0.428,0.47700000000000004,0.405
241,Rondae Hollis-Jefferson,SF,25,TOR,60,0.47100000000000003,0.49700000000000005,0.13
242,Rodney Hood,SF,27,POR,21,0.506,0.515,0.493
243,Al Horford,C,33,PHI,67,0.45,0.516,0.35
244,Danuel House,SF,26,HOU,63,0.42700000000000005,0.5489999999999999,0.363
245,Dwight Howard,C,34,LAL,69,0.7290000000000001,0.732,0.6
246,Kevin Huerter,SG,21,ATL,56,0.413,0.45299999999999996,0.38
247,De'Andre Hunter,SF,22,ATL,63,0.41,0.45399999999999996,0.355
248,Chandler Hutchison,SF,23,CHI,28,0.457,0.496,0.316
249,Serge Ibaka,C,30,TOR,55,0.512,0.5589999999999999,0.385
250,Andre Iguodala,SG,36,MIA,21,0.43200000000000005,0.585,0.298
251,Ersan İlyasova,PF,32,MIL,63,0.466,0.545,0.365
252,Joe Ingles,SF,32,UTA,72,0.445,0.525,0.39899999999999997
253,Brandon Ingram,PF,22,NOP,62,0.46299999999999997,0.501,0.391
254,Kyrie Irving,PG,27,BRK,20,0.478,0.522,0.39399999999999996
255,Jonathan Isaac,SF,22,ORL,34,0.47,0.521,0.34
256,Wesley Iwundu,SF,25,ORL,52,0.41600000000000004,0.457,0.341
257,Frank Jackson,PG,21,NOP,59,0.405,0.465,0.326
258,Jaren Jackson Jr.,C,20,MEM,57,0.469,0.54,0.39399999999999996
259,Josh Jackson,SG,22,MEM,22,0.44,0.54,0.319
260,Justin Jackson,PF,24,DAL,65,0.396,0.489,0.294
261,Reggie Jackson,PG,29,TOT,31,0.41100000000000003,0.425,0.39299999999999996
262,Reggie Jackson,PG,29,DET,14,0.384,0.38799999999999996,0.37799999999999995
263,Reggie Jackson,PG,29,LAC,17,0.45299999999999996,0.49200000000000005,0.413
264,Justin James,SG,23,SAC,36,0.41700000000000004,0.473,0.31
265,LeBron James,PG,35,LAL,67,0.493,0.564,0.348
266,DaQuan Jeffries,SG,22,SAC,13,0.5,0.682,0.278
267,Ty Jerome,PG,22,PHO,31,0.336,0.381,0.28
268,Alize Johnson,SF,23,IND,17,0.414,0.429,0.375
269,B.J. Johnson,SF,24,ORL,10,0.281,0.261,0.33299999999999996
270,Cameron Johnson,PF,23,PHO,57,0.435,0.526,0.39
271,James Johnson,PF,32,TOT,32,0.479,0.565,0.363
272,James Johnson,PF,32,MIA,18,0.44799999999999995,0.5479999999999999,0.35600000000000004
273,James Johnson,PF,32,MIN,14,0.5,0.573,0.37
274,Keldon Johnson,SF,20,SAS,17,0.596,0.597,0.591
275,Stanley Johnson,PF,23,TOR,25,0.373,0.429,0.292
276,Tyler Johnson,SG,27,TOT,39,0.38799999999999996,0.45,0.319
